-0.5180164576277262,0.6145044257959287,0.0
0.0,0.0,0.0
1.0999999999999999,0.0,0.0
-0.50621,-0.113321,-0.910001
-0.281766,-0.155352,-0.681817
0.158312,-0.143923,-0.710716
-0.532822,-0.085479,-0.988912
-0.318522,-0.136817,-0.743645
0.131632,-0.146865,-0.748454
-0.509,-0.086122,-0.990893
-0.303955,-0.13808,-0.748387
0.136514,-0.152357,-0.746418
-0.474322,-0.109281,-1.002739
-0.272538,-0.153749,-0.749671
0.173101,-0.145205,-0.732099
-0.49413,-0.109774,-0.959375
-0.278517,-0.15567,-0.724144
0.165056,-0.155408,-0.738419
-0.509364,-0.050099,-0.972183
-0.291325,-0.108453,-0.737793
0.156225,-0.101849,-0.751606
-0.474333,-0.043866,-0.964085
-0.258547,-0.104277,-0.72971
0.18563,-0.10326,-0.742065
-0.518332,-0.05526,-0.981715
-0.301045,-0.11283,-0.751166
0.138734,-0.115168,-0.770186
-0.511558,-0.048598,-0.909464
-0.286253,-0.108373,-0.688025
0.150146,-0.111931,-0.723908
-0.506163,-0.076509,-0.928449
-0.282734,-0.131408,-0.701487
0.157983,-0.138976,-0.732187
